response_id,mode,status,attention_check,duration_seconds,region,county,age,gender,race_ethnicity,education,party_registration,ideology,vote_2024,homeownership,children_home,housing_cost_seriousness,allow_more_housing,rent_increase_limit,affordable_housing_tax_credits,development_traffic_concern,corporate_buyer_restrictions,public_land_housing,housing_priority_tradeoff
NVH00001,online,terminated,Passed,565,Clark,Clark,76,Female,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Trump,Rent,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat oppose,Not too concerned,Somewhat support,Not sure,Protect existing neighborhoods even if fewer homes are built
NVH00002,online,complete,Passed,935,Clark,Clark,24,Male,White non-Hispanic,Postgraduate,Independent/Other,Moderate,Trump,Rent,No,Very serious,Not sure,Somewhat oppose,Somewhat support,Very concerned,Not sure,Somewhat oppose,Build more homes even if neighborhoods change
NVH00003,online,complete,Failed,1000,Clark,Clark,75,Male,White non-Hispanic,Some college/associate,Independent/Other,Somewhat conservative,Trump,Rent,No,Very serious,Strongly oppose,Strongly support,Somewhat oppose,Somewhat concerned,Somewhat oppose,Strongly oppose,Build more homes even if neighborhoods change
NVH00004,online,complete,Failed,1391,Clark,Clark,46,Female,White non-Hispanic,Some college/associate,Democrat,Moderate,Harris,Rent,No,Very serious,Somewhat support,Not sure,Strongly oppose,Not too concerned,Somewhat oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00005,sms,complete,Passed,171,Clark,Clark,34,Male,White non-Hispanic,College graduate,Independent/Other,Somewhat liberal,Did not vote,Rent,Yes,Very serious,Strongly support,Somewhat support,Not sure,Somewhat concerned,Not sure,Strongly oppose,Build more homes even if neighborhoods change
NVH00006,online,complete,Passed,590,Clark,Clark,26,Female,Black,Some college/associate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Strongly support,Not sure,Strongly oppose,Very concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00007,online,partial,Passed,355,Washoe,Washoe,38,Female,Black,Some college/associate,Republican,Somewhat conservative,Harris,Other arrangement,Yes,Somewhat serious,Somewhat oppose,Somewhat oppose,Somewhat oppose,Not too concerned,Somewhat oppose,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00008,online,complete,Passed,1434,Clark,Clark,23,Female,Hispanic/Latino,High school or less,Independent/Other,Moderate,Trump,Rent,No,Very serious,Strongly support,Somewhat support,Not sure,Not at all concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00009,online,complete,Passed,717,Clark,Clark,67,Female,Hispanic/Latino,College graduate,Democrat,Moderate,Other,Own,No,Somewhat serious,Strongly support,Somewhat oppose,Somewhat support,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00010,online,partial,Passed,1293,Clark,Clark,76,Female,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Other arrangement,No,Somewhat serious,Somewhat oppose,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00011,online,complete,Passed,219,Clark,Clark,54,Male,Other/Mixed,Some college/associate,Democrat,Somewhat liberal,Trump,Own,No,Not too serious,Somewhat oppose,Somewhat support,Somewhat support,Very concerned,Strongly oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
